Country,Year,Type,Total affected,Total damage ('000 US$),Total death
Vietnam,2000,Flood,5000004,0,460
Vietnam,2001,Flood,1570270,0,310
Vietnam,2002,Drought,1300000,0,0
Vietnam,2002,Flood,1138200,0,0
Vietnam,2006,Storm,2694285,1080000,299
Vietnam,2007,Flood,0,350000,0
Vietnam,2007,Storm,0,300000,96
Vietnam,2008,Flood,0,479000,99
Vietnam,2008,Storm,0,0,162
Vietnam,2009,Storm,2477315,1065000,306
Vietnam,2010,Flood,761000,0,0
Vietnam,2011,Flood,0,0,85
Vietnam,2012,Storm,0,336000,0
Vietnam,2013,Flood,2130001,0,0
Vietnam,2013,Storm,1835585,1397230,0
,,,,,
,,,,,
,,,,,
,,,,,